0,1,2,3,4,5,6,7,8,9,true label,f(x)
0.000657665,0.000253692,0.014307661999999999,0.00401258,0.00084164,0.00018893599999999998,3.0799999999999996e-05,0.96897316,0.0010299060000000001,0.009704038,7,7
0.002250452,0.0007550419999999999,0.9651375409999999,0.024721995,0.000398556,0.000872011,0.003015705,5.3500000000000006e-05,0.002622685,0.000172631,2,2
0.0022677310000000003,0.700811625,0.024654508999999998,0.016469721,0.00648393,0.034795914,0.125659704,0.034795895,0.042753913,0.011306999,1,1
0.997094989,2.8e-07,0.00027320599999999996,8.56e-05,8.209999999999999e-05,0.000519095,0.000391584,7.63e-05,0.00038002,0.00109691,0,0
0.013519173,2.9199999999999998e-05,0.001419231,0.000378129,0.804777801,0.0013598979999999998,0.008890038000000001,0.009990646,0.00407756,0.15555833300000002,4,4
0.00245874,0.8752473,0.009177368,0.006005779,0.00271622,0.018331619,0.047923062,0.016651664,0.017981576000000003,0.0035066809999999998,1,1
0.0023771879999999997,0.00036532599999999996,0.001217015,0.001220661,0.7641163470000001,0.002503242,0.0021582570000000002,0.005205938,0.061295647,0.159540385,4,4
0.008928806999999999,0.001021645,0.012951918,0.007002121,0.204467967,0.005361171,0.003804153,0.018499494,0.031811748,0.706151009,9,9
0.016310371,5.07e-06,0.020576671,0.016582884,0.000508792,0.8528988359999999,0.056853670999999995,0.001401364,0.032265574,0.002596796,5,5
0.004164533,7e-05,0.005152025,0.004774856,0.136470586,0.0038840579999999997,0.000407929,0.030596223,0.064185731,0.75029397,9,9
0.988606751,1.92e-06,0.002021766,0.001394553,0.000104425,0.005821684000000001,0.00062838,0.000214628,0.00048063,0.000725363,0,0
0.23559601600000002,7.709999999999999e-07,0.00015157200000000002,0.000132457,0.001394702,0.003524143,0.7508803009999999,2.47e-05,0.005506021999999999,0.0027893809999999996,6,6
0.001680444,1.93e-05,0.000529627,0.000555379,0.036291901,0.00018155799999999999,0.0002847,0.00868553,0.00884764,0.942923725,9,9
0.998496652,1.32e-07,5.7100000000000006e-05,8.84e-06,2.1600000000000003e-05,0.00010317,0.0009723280000000001,4.07e-05,0.000133837,0.00016569900000000003,0,0
0.000522776,0.8478920459999999,0.01005466,0.037746556,0.002364139,0.041060701,0.011041956,0.018877709,0.021727572999999997,0.008711929,1,1
0.004479159,4.35e-06,0.0010425060000000001,0.17781259100000002,2.2800000000000002e-05,0.805464685,0.002319151,5.42e-05,0.008683330999999999,0.000117249,5,5
0.0048126770000000004,5.56e-06,0.000416311,0.000296099,0.050719205,0.000241925,0.001347664,0.007404364,0.004106165,0.930649996,9,9
0.0032712709999999996,5.2900000000000005e-05,0.0035187309999999998,0.00468455,0.000583555,0.0009146000000000001,3.9399999999999995e-05,0.984327495,0.000406601,0.002200869,7,7
0.007290571,6.22e-05,0.022490057999999997,0.650573492,0.001492451,0.159093916,0.014268011,0.001241973,0.121748522,0.021738786,3,3
0.000169289,2.08e-05,0.000316745,5.9499999999999996e-05,0.994097948,0.000145199,0.000320084,0.002284645,0.00024705,0.0023386179999999998,4,4
0.010707193,0.000286636,0.00271563,0.004745788,0.09247423,0.004650294,0.003275042,0.013540415,0.061644174,0.8059607740000001,9,9
