0,1,2,3,4,5,6,7,8,9,true label,f(x)
0.028083129,0.02664289,0.0804195,0.35647497,0.024495982,0.20329459,0.20541981,0.014898876,0.034388296,0.025881952,3,3
0.04324781,0.30394235,0.001097898,0.000304169,5.07E-05,0.000121671,0.000125366,0.000392675,0.5532589,0.09745841,8,8
0.07233843,0.064473525,0.004565561,0.001642653,0.003132953,0.000985267,0.000155092,0.001260449,0.8339302,0.017515859,8,8
0.5668592,0.052935082,0.03213543,0.002688131,0.001762667,0.001180225,0.000200209,0.003379684,0.31658328,0.022276016,0,0
0.000575601,0.000464407,0.05944173,0.018301893,0.14764525,0.006376823,0.7635029,0.001954247,0.001302329,0.000434826,6,6
0.000579502,0.001128565,0.03999429,0.18932907,0.09561646,0.07666873,0.5719468,0.021454383,0.000701545,0.002580604,6,6
0.009684349,0.47840872,0.011809958,0.074482955,0.000657333,0.042104892,0.009961196,0.013286764,0.007467377,0.35213643,1,1
0.021138908,0.0064267,0.41920796,0.031245632,0.101444095,0.08296972,0.31175107,0.014918015,0.004818101,0.006079827,6,2
0.001513963,0.000309406,0.067881145,0.36577612,0.09237681,0.4114644,0.028153865,0.029139098,0.002629467,0.000755755,3,5
0.144098,0.3747052,0.008936831,0.015524107,0.007136962,0.0115285,0.003625282,0.009200561,0.04984478,0.3753998,1,9
0.27216938,0.00197428,0.29313985,0.082611166,0.058592793,0.080081165,0.009738376,0.007850844,0.18882132,0.005020831,0,2
0.000899502,0.08505076,1.17E-05,8.76E-05,3.57E-06,2.32E-05,6.21E-06,0.000250062,0.001659101,0.9120082,9,9
0.003821041,0.001361897,0.0612753,0.1947344,0.15936776,0.38886756,0.10342361,0.08444374,0.000979563,0.001725135,5,5
0.007411949,0.025816627,0.0185161,0.084860705,0.011392177,0.20784092,0.025480796,0.5406149,0.011478297,0.066587515,7,7
0.003852284,0.19567946,0.000416524,0.000410884,5.88E-05,0.000322238,2.48E-05,0.000678223,0.003232405,0.79532444,9,9
0.07562735,0.03454884,0.112668686,0.039306276,0.18638743,0.015593389,0.20486912,0.010192963,0.3080227,0.012783213,8,8
0.001613729,0.001833137,0.021745017,0.13286054,0.010579888,0.7833528,0.006246517,0.03897336,0.001895311,0.000899705,5,5
0.018262902,0.006901391,0.07032985,0.1090982,0.06595107,0.09960849,0.023372684,0.57279456,0.012849923,0.020830892,7,7
0.037909586,0.06488179,0.003432133,0.008549179,0.001732268,0.001351412,0.003141219,0.003656463,0.5253843,0.3499617,8,8
0.000762489,0.000321642,0.038287036,0.032092247,0.056360837,0.003156687,0.86534816,0.002386891,0.000613027,0.000671046,6,6
0.029737862,0.02520116,0.07197603,0.034144636,0.21645087,0.030720359,0.004915386,0.5593718,0.00458573,0.02289626,7,7
0.5912163,0.010441666,0.17138581,0.10852987,0.027189018,0.023886079,0.01263594,0.019071894,0.025115002,0.010528264,0,0
0.36134326,0.011097759,0.06768698,0.043351226,0.1764569,0.043047134,0.006661959,0.006304767,0.27014196,0.013908025,4,0
0.000992791,0.08770079,5.56E-06,2.22E-05,2.33E-06,1.89E-05,2.40E-06,4.15E-05,0.002908234,0.90830547,9,9
0.004256313,0.001101282,0.10049244,0.054607213,0.5594005,0.13275646,0.012021905,0.12803042,0.00182726,0.005506306,5,4
0.01283042,0.005231015,0.23538306,0.024101421,0.56681114,0.03815175,0.06408678,0.026447095,0.001894364,0.025062881,2,4
0.007656547,0.002633832,0.18904662,0.22924314,0.25067642,0.18968005,0.04030425,0.07755893,0.007725025,0.005475203,4,4
0.38647795,0.006707802,0.3782494,0.030943807,0.027767906,0.0405166,0.059905153,0.040310264,0.013036598,0.016084416,0,0
0.010678656,0.37485105,0.004896764,0.007664579,0.00175987,0.006758574,0.000871275,0.016503245,0.005762888,0.57025313,9,9
0.004327756,0.002109808,0.038726777,0.057239596,0.21917799,0.06360076,0.5614279,0.048785713,0.001959502,0.002644132,6,6
0.001907811,0.000841649,0.12254752,0.14957906,0.1338187,0.08584195,0.43562362,0.067666136,0.000316145,0.001857418,6,6
0.001049843,0.000162182,0.055973712,0.06659262,0.052442066,0.6834848,0.004507778,0.13525566,0.000135216,0.000396121,5,5
0.002739429,0.008838045,0.10745914,0.056382664,0.36878252,0.023663722,0.38214117,0.039228693,0.005525476,0.005239162,4,6
0.002320902,0.003999001,0.269307,0.29395744,0.13276601,0.11170036,0.15688275,0.02227528,0.002339357,0.004451902,5,3
0.05355654,0.034325495,0.003618157,0.003244489,0.001228604,0.002338614,0.000540439,0.006828589,0.014645893,0.87967306,9,9
0.01296238,0.16133854,0.090460226,0.16150297,0.020299554,0.090654634,0.2107001,0.008957688,0.13774978,0.10537406,2,6
0.001989552,0.00020946,0.05398894,0.033384703,0.5299385,0.036797564,0.033128705,0.3082265,0.000819259,0.001516808,4,4
0.106688425,0.44711038,0.001447853,0.007906687,0.002033696,0.001769103,0.001382831,0.013880093,0.29034558,0.12743539,1,1
0.003573228,0.02738561,0.00015323,0.000341099,3.22E-05,0.000517198,0.000139016,0.000429694,0.009098384,0.9583305,9,9
0.002871338,0.000338939,0.06956002,0.34352058,0.026849406,0.4946168,0.020053715,0.03320507,0.007558506,0.001425658,5,5
0.5889265,0.042896193,0.14525466,0.019173637,0.0743398,0.007200026,0.004413753,0.014398249,0.039121773,0.06427551,4,0
0.001873984,0.003733215,0.04666119,0.028431376,0.08010743,0.003807504,0.82322675,0.008445109,0.00083012,0.002883364,6,6
0.005286926,0.005261061,0.11995949,0.17590174,0.044290695,0.32725856,0.010229371,0.26340672,0.00264608,0.045759346,5,5
0.007261846,0.005684057,0.087811865,0.14403369,0.1516185,0.09646664,0.47474685,0.025156803,0.003467824,0.003751973,6,6
0.86123675,0.020406514,0.01790723,0.002053868,0.008188606,0.001822008,0.000905072,0.005088806,0.03934309,0.043047894,0,0
0.013577429,0.040473904,0.000333282,0.000561662,0.000265144,0.000400593,4.69E-05,0.003375545,0.09918637,0.84177923,9,9
0.008690594,0.002135603,0.12953265,0.18961428,0.2191219,0.16912243,0.1617053,0.10705439,0.007442478,0.005580389,3,4
0.02363098,0.071654424,0.006673317,0.017674426,0.007224053,0.004114834,0.006349574,0.010806182,0.25357035,0.5983019,9,9
0.000174934,2.18E-05,0.026302505,0.002535997,0.2895399,0.03160626,0.001835107,0.6478126,3.00E-05,0.000140793,7,7
0.012982571,0.002469409,0.20860682,0.027382318,0.21074441,0.027284443,0.48119286,0.023964563,0.002034463,0.003338222,6,6
0.064564474,0.09144771,0.014858817,0.002448013,0.007748501,0.001881868,0.002083742,0.003862042,0.021147698,0.78995717,9,9
0.022446243,0.003415742,0.006789652,0.007964121,0.032446373,0.007405332,0.007019078,0.007629601,0.88552076,0.019363135,8,8
0.06682603,0.024179356,0.18293728,0.20147398,0.15163282,0.104449846,0.08753449,0.14389178,0.01877345,0.018300949,0,3
0.001597966,0.002031996,0.039809186,0.17737505,0.082309484,0.0959833,0.5809723,0.012460793,0.00320201,0.004257917,3,6
0.16043366,0.048301,0.008186882,0.002972732,0.001006237,0.00063404,0.00015845,0.000922858,0.7703513,0.007032886,8,8
0.12718074,0.00831105,0.10944641,0.024108652,0.031213451,0.042472895,0.001999956,0.006858036,0.6271599,0.021248942,8,8
0.05334718,0.034539975,0.0787432,0.12251707,0.114291355,0.14464378,0.022888148,0.275147,0.027524376,0.12635793,7,7
0.004333179,0.021803265,0.05168445,0.35139215,0.07802231,0.18332203,0.11926314,0.11777366,0.05462714,0.017778683,7,3
0.022751499,0.002019718,0.10395353,0.22331704,0.1463109,0.27882373,0.08702199,0.09254677,0.03051915,0.012735773,4,5
0.021937197,0.012927082,0.07957069,0.2813285,0.038699858,0.46969348,0.059273787,0.023884626,0.004923876,0.007760937,6,5
0.000188086,4.32E-05,0.011573152,0.001707671,0.12213477,0.017484864,0.002735168,0.8440667,1.27E-05,5.37E-05,7,7
0.000390535,0.000198879,0.04173419,0.28861207,0.030277574,0.59430736,0.00911752,0.03379283,0.000288059,0.001280943,3,5
0.065017104,0.11393519,0.16389997,0.1441345,0.062879756,0.033635475,0.2594055,0.11969249,0.0208968,0.01650321,6,6
0.16373476,0.106089815,0.1504458,0.2848676,0.007439774,0.15546517,0.008449159,0.009813382,0.03651975,0.07717472,3,3
0.008223129,0.004966803,0.08307856,0.27224365,0.1812841,0.06477348,0.3397588,0.039227504,0.003203171,0.003240799,6,6
0.004451154,0.004385814,0.39576474,0.05171575,0.13326494,0.025644582,0.37071395,0.011888227,0.001247291,0.000923547,2,2
0.003489591,0.8258623,0.000611423,0.002192649,0.000103773,0.00120688,0.000734863,0.000684095,0.07259675,0.09251759,1,1
0.113286555,0.005635398,0.8329261,0.004915897,0.011110829,0.002360919,0.004890019,0.001945961,0.019258276,0.003670111,2,2
0.00232168,0.010780275,0.040604085,0.3339723,0.100726716,0.2558001,0.1216784,0.09903373,0.013335464,0.021747282,3,3
0.06477377,0.05602138,0.056906573,0.017321445,0.20690204,0.014803833,0.007433024,0.30814582,0.012928329,0.2547638,7,7
0.14520478,0.013246893,0.1481639,0.3346193,0.09016823,0.05839246,0.015564104,0.05769145,0.060933046,0.076015815,2,3
